127.0.0.1 - - [10/Mar/2024:17:58:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:33 +0530] "GET /Project/ HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:33 +0530] "GET /Project/img/index.jpg HTTP/1.1" 200 1475182
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:33 +0530] "GET /Project/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:35 +0530] "GET /Project/WelcomeCtl HTTP/1.1" 200 2749
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:35 +0530] "GET /Project/img/university_img.jpg HTTP/1.1" 200 2064282
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:38 +0530] "GET /Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:38 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:38 +0530] "GET /Project/img/login_img.jpg HTTP/1.1" 200 2263867
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:55 +0530] "POST /Project/LoginCtl HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:58:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:59:16 +0530] "GET /Project/LoginCtl?operation=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:17:59:16 +0530] "GET /Project/Login.jsp HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:00:02 +0530] "POST /Project/LoginCtl HTTP/1.1" 200 5409
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:00:41 +0530] "POST /Project/LoginCtl HTTP/1.1" 200 5409
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:01:34 +0530] "POST /Project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:01:34 +0530] "GET /Project/UserRegistrationCtl HTTP/1.1" 200 6839
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:01:34 +0530] "GET /Project/img/user_reg.jpg HTTP/1.1" 200 3503158
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:01:55 +0530] "POST /Project/UserRegistrationCtl HTTP/1.1" 500 1108
