127.0.0.1 - - [10/Mar/2024:18:04:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:27 +0530] "GET /project_3/ HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:27 +0530] "GET /project_3/img/index.png HTTP/1.1" 200 1132575
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:28 +0530] "GET /project_3/img/logoo.png HTTP/1.1" 200 97783
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:28 +0530] "GET /project_3/img/welcome.png HTTP/1.1" 200 261043
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:36 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6839
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:36 +0530] "GET /project_3/img/lo.png HTTP/1.1" 200 1123135
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:54 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:54 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:04:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:06 +0530] "GET /project_3/ctl/StudentListCtl HTTP/1.1" 200 13651
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:06 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:06 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:06 +0530] "GET /project_3/img/user_reg.jpg HTTP/1.1" 200 3503158
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:20 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7054
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:50 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:50 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 5848
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:05:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:06:57 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 5984
0:0:0:0:0:0:0:1 - - [10/Mar/2024:18:06:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
